City_2,100579
City_48,100095
City_45,100314
City_40,100046
City_23,100042
City_8,99289
City_29,100464
City_33,99868
City_14,99799
City_38,99980
City_49,98984
City_19,99613
City_37,100762
City_21,99946
City_15,99751
City_20,100127
City_3,99906
City_11,99942
City_22,99707
City_13,99851
City_16,100150
City_12,100165
City_41,100453
City_18,100474
City_34,99713
City_44,99604
City_35,100308
City_32,100277
City_36,99531
City_27,99957
City_24,99866
City_10,100315
City_42,99943
City_1,100180
City_28,100289
City_30,100343
City_17,100237
City_9,100093
City_39,100045
City_25,99737
City_26,99953
City_46,100009
City_6,100322
City_4,99510
City_7,99965
City_5,99620
City_47,100371
City_43,99679
City_31,100321
City_50,99505
